Image Path;IoU Score
100k/val/b20b69d2-e31380a7;0.4418324
100k/val/b20b69d2-ffc1d6af;0.5901336
100k/val/b20b9c19-91e01a50;0.39797315
100k/val/b20d494a-cdebe83e;0.5926163
100k/val/b20e291a-32ac11c1;0.9427701
100k/val/b20e291a-6012d836;0.77108026
100k/val/b20eae11-149766ce;0.47544155
100k/val/b20eae11-18cd8ca2;0.5686943
100k/val/b20eae11-6817ba7a;0.5070815
100k/val/b20ff95c-b9444127;0.5770011
100k/val/b2102d00-5eb86b71;0.9405536
100k/val/b2102d00-a8c09be1;0.4834848
100k/val/b2131b7b-e58faab7;0.44434953
100k/val/b213e4eb-09c01a17;0.70848197
100k/val/b214d1e1-f248c616;0.43889675
100k/val/b21547c1-73e457f8;0.62631077
100k/val/b21547c1-796757ac;0.47921988
100k/val/b2156f8e-72e1547c;0.82698244
100k/val/b215943a-10e44587;0.5472407
100k/val/b216243d-55963da2;0.93914235
100k/val/b216243d-ad4306b9;0.5200813
100k/val/b2169b74-fa197951;0.41161346
100k/val/b21742c2-0e7a2b57;0.8582727
100k/val/b21742c2-18d3463a;0.9419467
100k/val/b2194b15-1825056a;0.3113871
100k/val/b21ac8b3-9b9cb45a;0.6942264
100k/val/b21bfb83-ea32f716;0.33333334
100k/val/b21c68e6-65674a17;0.85709286
100k/val/b21c86ac-0dc77d82;0.44652042
100k/val/b21c86ac-2eb7ba16;0.94480515
100k/val/b21c86ac-71205084;0.3467413
100k/val/b21d5efb-5e2cd743;0.53856325
100k/val/b2208b0f-2796a692;0.60024065
100k/val/b222c329-5dc8dbf7;0.60376376
100k/val/b229488e-e4714bb7;0.67676944
100k/val/b22a4d9f-48b2e986;0.92855537
100k/val/b22a4d9f-73cc8810;0.47776255
100k/val/b22e02cd-6af68e18;0.58102405
100k/val/b22f174d-a19c875e;0.56759185
100k/val/b22f385b-5d7e5202;0.59276044
100k/val/b230132b-ff8f2719;0.5756246
100k/val/b230a7b2-c881c382;0.4934381
100k/val/b231a630-c4522992;0.9076711
100k/val/b232c7c9-d251d9ee;0.6267325
100k/val/b2331b83-648e56ca;0.8869571
100k/val/b2331b83-a28e6b57;0.9284751
100k/val/b23493b1-3200de1c;0.9397315
100k/val/b237db93-fab44bf2;0.6500491
100k/val/b23a79d1-43dfeecd;0.86455774
100k/val/b23a79d1-e434acaa;0.916958
100k/val/b23adb0d-72704b27;0.8982401
100k/val/b23adb0d-8a7aaced;0.61494917
100k/val/b23b2649-1a78948d;0.646182
100k/val/b23b2649-6af03cd5;0.61632633
100k/val/b23b2649-8349d2a1;0.38525367
100k/val/b23bb45f-ddeea1d8;0.5954162
100k/val/b23c9e00-5506ddfb;0.82780164
100k/val/b23c9e00-b425de1b;0.6787416
100k/val/b23d2079-0c019d8e;0.86087793
100k/val/b23f7012-32d284ce;0.6163652
100k/val/b23f7012-fab06dac;0.4604473
100k/val/b23fe89b-c704fe97;0.833125
100k/val/b24071b8-b3ee1196;0.91974324
100k/val/b2408e45-984ba5aa;0.8816573
100k/val/b242929f-3051abca;0.45671794
100k/val/b242f6b2-0033bdfb;0.49914572
100k/val/b242f6b2-99d2f2c1;0.6001377
100k/val/b242f6b2-eaa39345;0.35789812
100k/val/b242f6b2-f5da110f;0.88102674
100k/val/b24380ab-63272e5a;0.6137998
100k/val/b24380ab-6dbeb908;0.5846378
100k/val/b24380ab-855e9c00;0.44496346
100k/val/b24380ab-c07680d1;0.5603124
100k/val/b2443c9d-8cc3991f;0.5065028
100k/val/b245b306-ca3dca4e;0.636805
100k/val/b245e52e-0a0e4e69;0.9321248
100k/val/b245e52e-aaeeb959;0.94301724
100k/val/b246c8e8-3dd42e6c;0.31668043
100k/val/b246c8e8-4dd36bfc;0.529631
100k/val/b246c8e8-ecce1321;0.8584442
100k/val/b24702e3-0456c83c;0.8588934
100k/val/b24702e3-900f61ea;0.59381413
100k/val/b24702e3-e6f33768;0.7356647
100k/val/b24702e3-f56e0731;0.8209747
100k/val/b24702e3-fe617f57;0.5036495
100k/val/b248306f-a5089e94;0.56732
100k/val/b2490dcb-7469cbe8;0.51937026
100k/val/b249e7f2-92d2efad;0.6098754
100k/val/b249e7f2-d619bd69;0.9290986
100k/val/b24b3585-221ac8ac;0.56654686
100k/val/b24bdca1-e4f0c558;0.88152283
100k/val/b24c9ee6-e43a6e8b;0.89830893
100k/val/b24ca67a-594d7d3c;0.6308823
100k/val/b24d283f-33783d1b;0.8556575
100k/val/b24f03f7-ff66eaca;0.32649052
100k/val/b24f7455-e8c55d6a;0.45748886
100k/val/b2505382-1423f56a;0.58941215
100k/val/b2505382-272e7823;0.5551275
100k/val/b2505382-2905b23c;0.61280143
100k/val/b2505382-549785d3;0.77619517
100k/val/b2505382-de5238f0;0.5528941
100k/val/b250fb0c-01a1b8d3;0.47041795
100k/val/b251064f-30002542;0.70767486
100k/val/b251064f-4696b75e;0.6104689
100k/val/b251064f-5f6b663e;0.8980849
100k/val/b251064f-8d92db81;0.6338717
100k/val/b251064f-e7a165fd;0.8032856
100k/val/b251b746-00138418;0.3312413
100k/val/b255cd6c-0bdf0ac7;0.53881586
100k/val/b255cd6c-2f889586;0.33155274
100k/val/b255cd6c-5ccba454;0.46993944
100k/val/b255cd6c-6502a28c;0.7809586
100k/val/b255cd6c-82c804d4;0.57322115
100k/val/b255cd6c-bc3cbb18;0.899501
100k/val/b255cd6c-e5f99451;0.33333334
100k/val/b255cd6c-f2f28aff;0.568259
100k/val/b255cd6c-fb594dcb;0.5500909
100k/val/b2576c8c-2924c365;0.61398697
100k/val/b2576c8c-2de20b8a;0.5322475
100k/val/b257f482-cf55d35c;0.60156417
100k/val/b258a38b-0126cc8c;0.52721465
100k/val/b258d359-49a3ad31;0.89304066
100k/val/b258d359-db99eff1;0.62034833
100k/val/b259c5e1-cda39ef9;0.6023853
100k/val/b25aac57-705d50ad;0.89147824
100k/val/b25ae6c0-311e72c2;0.4250695
100k/val/b25ae6c0-fb9fea6a;0.32480252
100k/val/b25c1103-5da4b435;0.79767704
100k/val/b25c51f5-e9dba941;0.68092334
100k/val/b25fb716-78d8d49b;0.8915776
100k/val/b25fd5d3-fa4bfca0;0.3850065
100k/val/b25fdb41-4644e3f7;0.33333334
100k/val/b262f576-b0373824;0.4737702
100k/val/b26309ce-447c0ac7;0.9453505
100k/val/b26309ce-fc963b47;0.8681816
100k/val/b26327fe-3ac19999;0.37510988
100k/val/b26331b9-102f5d9a;0.70223564
100k/val/b2638d82-062aa1de;0.35420188
100k/val/b263f57d-1ccf6e51;0.51285696
100k/val/b2648a7f-42f72f67;0.54142463
100k/val/b265b9cf-2d517da6;0.42565057
100k/val/b26610ce-083c3bd1;0.88239115
100k/val/b266429a-83757042;0.33120698
100k/val/b266429a-ac0c4ed3;0.50972736
100k/val/b266db29-12bf52fa;0.54014224
